"ID","NOMBRE_EMP","NOMBRE_FAE","REGIÓN_IN","PROVINCIA","COMUNA_INS","NOMBRE_INS","TIPO_INSTA","RECOBRERSO","UTM_NORTE","UTM_ESTE","LATITUD","LONGITUD","ESTADO_INS","METODO_CONS","NEAR_DIST","VOL_AUTORIZADO","VOL_ACTUAL","TOS/IUTORIZADO","TOS/ICTUAL","RES_APRUEBA","RES_PDC_APRUEBA","RES_PDC_FECHA","RES_APRUEBA_FECHA"
"644","FAISAL HARCHA","PLANTA ROLEX","IV","ELQUI","LA SERENA","ROLEX 1","TRANQUE DE RELAVE","ORO","6681321.85","300839.41","-29.9828","-71.0644","INACTIVO","AGUAS ARRIBA","19824.780825575","3900","0","5850","0","S/I","S/I","S/I","S/I"
"645","GERARD FINDEL FINDEL","PLANTA EL INCIENSO","IV","LIMARI","OVALLE","EL INCIENSO 2","TRANQUE DE RELAVE","COBRE","6627498.99","292015.43","-30.4667","-71.1664","INACTIVO","EJE CENTRAL","24465.171729293","31000","0","46500","0","1028","S/I","S/I","11/20/1985"
"646","CIA. EXPLORACION DE MINAS SAN ANDRES","PLANTA ELISA DE BORDOS","III","COPIAPO","TIERRA AMARILLA","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","6933449.56","383070.27","-27.7182","-70.1861","INACTIVO","S/I","27662.629923091","18205","0","27307","0","S/I","S/I","S/I","S/I"
"647","FELIPE NUÑEZ","PLANTA MIRANDA ","IV","ELQUI","ANDACOLLO","TRANQUE 2","TRANQUE DE RELAVE","ORO","6651644.40","299811.24","-30.2503","-71.0806","INACTIVO","AGUAS ARRIBA","1514.1423326802","145920","0","218880","0","992","S/I","S/I","9/28/1984"
"648","FELIPE NUÑEZ","PLANTA MIRANDA ","IV","ELQUI","ANDACOLLO","TRANQUE 3","TRANQUE DE RELAVE","ORO","6651613.31","299819.18","-30.2506","-71.0806","INACTIVO","AGUAS ARRIBA","1511.1306011587","145920","0","218880","0","992","S/I","S/I","9/28/1984"
"649","FELIPE NUÑEZ","PLANTA MIRANDA ","IV","ELQUI","ANDACOLLO","TRANQUE 4","TRANQUE DE RELAVE","ORO","6651572.04","299833.99","-30.2510","-71.0804","INACTIVO","AGUAS ARRIBA","1512.2590119637","145920","0","218880","0","992","S/I","S/I","9/28/1984"
"650","SOC. AGUIRRE MOYANO LTDA.","FAENA EL MAITEN","IV","CHOAPA","ILLAPEL","CENTRAL (EX EL MAITEN 1+2A+2B+3","TRANQUE DE RELAVE","ORO","6494632.22","286492.07","-31.6637","-71.2520","INACTIVO","EJE CENTRAL","8984.978489841","12950","0","19425","0","S/I","S/I","S/I","S/I"
"651","JAIME PEREZ GOMEZ","FAENA EL ROMERO","IV","CHOAPA","ILLAPEL","EL ROMERO 2","TRANQUE DE RELAVE","COBRE","6522293.24","304232.88","-31.4175","-71.0595","ACTIVO","EJE CENTRAL","25690.542248189","22184","19862","33277","29793","212","S/I","S/I","1/23/1998"
"652","SUC. LUIS ALVAREZ SIERRA","PLANTA ESPERANZA","IV","CHOAPA","ILLAPEL","ESPERANZA 0","TRANQUE DE RELAVE","COBRE-ORO","6524685.17","304549.97","-31.3960","-71.0557","ABANDONADO","AGUAS ARRIBA","24781.070064707","14600","0","21900","0","S/I","S/I","S/I","S/I"
"653","EDUARDO LERY LERY","FAENA KATTIA","IV","CHOAPA","ILLAPEL","KATTIA 3","TRANQUE DE RELAVE","COBRE","6527152.27","303287.08","-31.3735","-71.0685","INACTIVO","AGUAS ARRIBA","22644.463140377","114234","0","171351","0","203","S/I","S/I","2/7/1986"
"654","SLM FLAMENCA","PLANTA LETICIA","IV","CHOAPA","ILLAPEL","LETICIA 1","TRANQUE DE RELAVE","ORO","6518392.41","307782.07","-31.4533","-71.0229","INACTIVO","AGUAS ARRIBA","23879.411389584","7350","0","11025","0","S/I","S/I","S/I","S/I"
"655","CIA. MINERA KALLEU (GUILLERMO DELGADO)","PLANTA LOS CANELOS","IV","CHOAPA","ILLAPEL","LOS CANELOS 2","TRANQUE DE RELAVE","COBRE-ORO","6528163.71","300044.61","-31.3638","-71.1023","INACTIVO","S/I","22739.953812974","750","0","1125","0","S/I","679","7/27/1998","S/I"
"656","DESCONOCIDO","OF. NENA VILLANA","I","TAMARUGAL","POZO ALMONTE","TRANQUE","TRANQUE DE RELAVE","COBRE","7720548.35","428327.72","-20.6128","-69.6879","ABANDONADO","S/I","63967.0940649","700","0","1050","0","S/I","S/I","S/I","S/I"
