latitude,longitude,depth
-36.61316299,-72.35777282,22
-36.61316299,-72.35777282,22
-36.61316299,-72.35777282,22
-36.61316299,-72.35777282,22
-36.61316299,-72.35777282,15
-36.61316299,-72.35777282,15
-36.61316299,-72.35777282,15
-36.61316299,-72.35777282,15
-36.61316299,-72.35777282,19
-36.61316299,-72.35777282,19
-36.61316299,-72.35777282,19
-36.61316299,-72.35777282,6
-36.61316299,-72.35777282,6
-36.61316299,-72.35777282,6
-36.61316299,-72.35777282,6
-36.61316299,-72.35777282,13
-36.61316299,-72.35777282,13
-36.61316299,-72.35777282,13
-36.61316299,-72.35777282,13
-36.61316299,-72.35777282,20
-36.61316299,-72.35777282,20
-36.61316299,-72.35777282,20
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316680,-72.35777282,14
-36.61316680,-72.35777282,24
-36.61316680,-72.35777282,24
-36.61316680,-72.35777282,24
-36.61316680,-72.35777282,24
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,23
-36.61316680,-72.35777282,8
-36.61316680,-72.35777282,8
-36.61316680,-72.35777282,8
-36.61316680,-72.35777282,8
-36.61316680,-72.35777282,13
-36.61316680,-72.35777282,13
-36.61316680,-72.35777282,13
-36.61316680,-72.35777282,14
-36.61316680,-72.35777282,14
-36.61316680,-72.35777282,14
-36.61316680,-72.35777282,14
-36.61316680,-72.35777282,15
-36.61316680,-72.35777282,15
-36.61316680,-72.35777282,15
-36.61316680,-72.35777282,15
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,16
-36.61316299,-72.35777282,16
-36.61316299,-72.35777282,16
-36.61316299,-72.35777282,16
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,8
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,14
-36.61316299,-72.35777282,7
-36.61316299,-72.35777282,7
-36.61316299,-72.35777282,7
-36.61316299,-72.35777282,7
-36.61316299,-72.35777282,7
-36.61316299,-72.35777282,7
-36.61315917,-72.35777282,7
-36.61315917,-72.35777282,7
-36.61315917,-72.35777282,0
