latitude,longitude,high,depth
-36.61316299,-72.35777282,3123,13
-36.61316299,-72.35777282,3123,13
-36.61316299,-72.35777282,3123,13
-36.61316299,-72.35777282,3123,13
-36.61316299,-72.35777282,3244,20
-36.61316299,-72.35777282,3244,20
-36.61316299,-72.35777282,3244,20
-36.61316299,-72.35777282,3354,14
-36.61316299,-72.35777282,3354,14
-36.61316299,-72.35777282,3354,14
-36.61316680,-72.35777282,3354,14
-36.61316680,-72.35777282,3473,24
-36.61316680,-72.35777282,3473,24
-36.61316680,-72.35777282,3473,24
-36.61316680,-72.35777282,3473,24
-36.61316680,-72.35777282,3568,23
-36.61316680,-72.35777282,3568,23
-36.61316680,-72.35777282,3568,23
-36.61316680,-72.35777282,3700,23
-36.61316680,-72.35777282,3700,23
-36.61316680,-72.35777282,3700,23
-36.61316680,-72.35777282,3700,23
-36.61316680,-72.35777282,3799,8
-36.61316680,-72.35777282,3799,8
-36.61316680,-72.35777282,3799,8
-36.61316680,-72.35777282,3799,8
-36.61316680,-72.35777282,3966,13
-36.61316680,-72.35777282,3966,13
-36.61316680,-72.35777282,3966,13
-36.61316680,-72.35777282,4037,14
-36.61316680,-72.35777282,4037,14
-36.61316680,-72.35777282,4037,14
-36.61316680,-72.35777282,4037,14
-36.61316680,-72.35777282,4160,15
-36.61316680,-72.35777282,4160,15
-36.61316680,-72.35777282,4160,15
-36.61316680,-72.35777282,4160,15
-36.61316299,-72.35777282,4062,8
-36.61316299,-72.35777282,4062,8
-36.61316299,-72.35777282,4062,8
-36.61316299,-72.35777282,4196,8
-36.61316299,-72.35777282,4196,8
-36.61316299,-72.35777282,4196,8
-36.61316299,-72.35777282,4196,8
-36.61316299,-72.35777282,4241,16
-36.61316299,-72.35777282,4241,16
-36.61316299,-72.35777282,4241,16
-36.61316299,-72.35777282,4241,16
-36.61316299,-72.35777282,4597,8
-36.61316299,-72.35777282,4597,8
-36.61316299,-72.35777282,4597,8
-36.61316299,-72.35777282,4597,8
-36.61316299,-72.35777282,4766,14
-36.61316299,-72.35777282,4766,14
-36.61316299,-72.35777282,4766,14
-36.61316299,-72.35777282,4870,14
-36.61316299,-72.35777282,4870,14
-36.61316299,-72.35777282,4870,14
-36.61316299,-72.35777282,4870,14
-36.61316299,-72.35777282,4977,7
-36.61316299,-72.35777282,4977,7
-36.61316299,-72.35777282,4977,7
-36.61316299,-72.35777282,4977,7
-36.61316299,-72.35777282,5079,7
-36.61316299,-72.35777282,5079,7
-36.61315917,-72.35777282,5079,7
-36.61315917,-72.35777282,5079,7
-36.61315917,-72.35777282,4311,0
-36.61315917,-72.35777282,4311,0
-36.61315917,-72.35777282,4311,0
-36.61315917,-72.35777282,4444,17
-36.61315917,-72.35777282,4444,17
-36.61315917,-72.35777282,4444,17
-36.61315917,-72.35777282,4444,17
-36.61315917,-72.35777282,4509,16
-36.61315917,-72.35777282,4509,16
-36.61315917,-72.35777282,4509,16
-36.61315917,-72.35777282,4509,16
-36.61315917,-72.35777282,4531,15
-36.61315917,-72.35777282,4531,15
-36.61315917,-72.35777282,4531,15
-36.61315917,-72.35777282,4487,23
-36.61315917,-72.35777282,4487,23
-36.61315917,-72.35777282,4487,23
-36.61315917,-72.35777282,4487,23
-36.61315917,-72.35777282,4485,7
-36.61315917,-72.35777282,4485,7
-36.61315917,-72.35777282,4485,7
-36.61315917,-72.35777282,4485,7
