longitude,latitude,depth
9.954364,56.128025,0.989
9.954364,56.128024,1.012
9.954364,56.128024,1.009
9.954364,56.128024,1.053
9.954364,56.128024,1.053
9.954364,56.128024,1.024
9.954364,56.128024,1.032
9.954364,56.128024,1.038
9.954364,56.128024,1.017
9.954364,56.128024,1.015
9.954364,56.128024,1.006
9.954364,56.128024,1.003
9.954365,56.128024,0.997
9.954365,56.128024,0.999
9.954365,56.128024,1.005
9.954365,56.128024,0.984
9.954365,56.128024,0.977
9.954365,56.128024,0.986
9.954365,56.128024,0.981
9.954365,56.128024,0.968
9.954365,56.128024,0.972
9.954365,56.128024,0.976
9.954365,56.128024,0.982
9.954365,56.128024,0.987
9.954366,56.128024,0.992
9.954366,56.128024,0.998
9.954366,56.128024,1.005
9.954366,56.128024,1.025
9.954366,56.128024,1.006
9.954366,56.128024,1.037
9.954365,56.128024,1.025
9.954365,56.128024,1.022
9.954365,56.128024,1.049
9.954365,56.128024,1.059
9.954365,56.128024,1.052
9.954365,56.128024,1.068
9.954365,56.128024,1.087
9.954365,56.128024,1.103
9.954365,56.128024,1.134
9.954365,56.128024,1.165
9.954365,56.128024,1.189
9.954365,56.128024,1.239
9.954327,56.128047,1.154
9.954327,56.128047,1.094
9.954327,56.128047,1.11
9.954327,56.128047,1.105
9.954327,56.128047,1.082
9.954327,56.128047,1.068
9.954327,56.128047,1.067
9.954327,56.128047,1.09
9.954327,56.128047,1.06
9.954327,56.128047,1.071
9.954327,56.128047,1.073
9.954327,56.128047,1.062
9.954327,56.128047,1.084
9.954327,56.128047,1.078
9.954327,56.128047,1.054
9.954327,56.128047,1.049
9.954327,56.128047,1.074
9.954327,56.128047,1.073
9.954327,56.128047,1.072
9.954327,56.128047,1.07
9.954326,56.128047,1.034
9.954326,56.128047,1.023
9.954326,56.128047,1.034
9.954326,56.128047,1.016
9.954326,56.128047,1.054
9.954326,56.128047,1.024
9.954326,56.128047,1.019
9.954326,56.128047,1.017
9.954326,56.128047,1.002
9.954326,56.128047,0.995
9.954326,56.128047,1.0
9.954326,56.128047,1.019
9.954326,56.128047,1.011
9.954326,56.128047,1.047
9.954326,56.128047,1.03
9.954326,56.128047,1.029
9.954326,56.128047,1.013
9.954326,56.128047,1.004
9.954326,56.128047,1.001
9.954326,56.128047,1.001
9.954326,56.128047,0.997
9.954326,56.128047,0.988
9.954326,56.128047,0.981
9.954326,56.128047,0.98
9.954326,56.128047,0.991
9.954326,56.128047,0.987
9.954326,56.128047,0.981
9.954326,56.128047,0.978
9.954326,56.128047,0.986
9.954326,56.128047,0.995
9.954326,56.128047,1.022
9.954326,56.128047,1.021
9.954326,56.128047,1.028
9.954326,56.128047,1.015
9.954326,56.128047,1.015
9.954326,56.128047,1.023
9.954326,56.128047,1.038
9.954326,56.128047,1.057
9.954326,56.128047,1.082
9.954326,56.128047,1.111
9.954326,56.128047,1.155
9.954326,56.128047,1.19
9.954326,56.128047,1.215
9.954326,56.128047,1.275
9.954326,56.128047,1.298
9.95429,56.128065,1.194
9.95429,56.128065,1.169
9.95429,56.128065,1.166
9.95429,56.128065,1.149
9.95429,56.128066,1.132
9.95429,56.128066,1.103
9.95429,56.128066,1.109
9.954289,56.128066,1.112
9.954289,56.128066,1.066
9.954289,56.128066,1.072
9.954289,56.128066,1.047
9.954289,56.128066,1.044
9.954289,56.128066,1.039
9.954289,56.128066,1.07
9.954289,56.128066,1.048
9.954289,56.128066,1.039
9.954289,56.128066,1.044
9.954289,56.128066,1.066
9.954289,56.128066,1.077
9.954288,56.128066,1.09
9.954288,56.128066,1.102
9.954289,56.128066,1.111
9.954289,56.128066,1.128
9.954289,56.128066,1.142
9.954289,56.128066,1.18
